"Date(UTC)","Julian Date","MET","TS","Photon Flux [0.1-100 GeV](photons cm-2 s-1)","Photon Flux Error(photons cm-2 s-1)","Photon Index","Photon Index Error","Fit Tolerance","MINUIT Return Code","Analysis Log"
"Apr 04 2010","2455292","292075201","21.71","1.17e-7","3.97e-8","-2.1","-","1e-8","0","bin203.log"
"Apr 07 2010","2455295","292334401","18.52","1.17e-7","4.96e-8","-2.1","-","1e-8","0","bin204.log"
"Apr 10 2010","2455298","292593601","54.05","2.51e-7","6.20e-8","-2.1","-","1e-8","0","bin205.log"
"Apr 13 2010","2455301","292852801","91.19","2.48e-7","4.90e-8","-2.1","-","1e-8","0","bin206.log"
"Apr 16 2010","2455304","293112001","25.83","1.26e-7","4.33e-8","-2.1","-","1e-8","0","bin207.log"
"Apr 19 2010","2455307","293371201","9.32","8.35e-8","3.89e-8","-2.1","-","1e-8","0","bin208.log"
"Apr 22 2010","2455310","293630401","0","< 5.46e-8","-","-","-","1e-8","0","bin209.log"
"Apr 25 2010","2455313","293889601","14.18","6.36e-8","3.08e-8","-2.1","-","1e-8","0","bin210.log"
"Apr 28 2010","2455316","294148801","10.18","8.60e-8","3.76e-8","-2.1","-","1e-8","0","bin211.log"
"May 01 2010","2455319","294408001","3.08","< 1.21e-7","-","-","-","1e-8","0","bin212.log"
"May 04 2010","2455322","294667201","18.99","6.47e-8","2.89e-8","-2.1","-","1e-8","0","bin213.log"
"May 07 2010","2455325","294926401","10.77","5.32e-8","2.76e-8","-2.1","-","1e-8","0","bin214.log"
"May 10 2010","2455328","295185601","0","< 7.32e-8","-","-","-","1e-8","0","bin215.log"
"May 13 2010","2455331","295444801","6.49","5.60e-8","2.99e-8","-2.1","-","1e-8","0","bin216.log"
"May 16 2010","2455334","295704001","18.34","1.23e-7","4.35e-8","-2.1","-","1e-8","0","bin217.log"
"May 19 2010","2455337","295963201","52.41","1.85e-7","4.70e-8","-2.1","-","1e-8","0","bin218.log"
"May 22 2010","2455340","296222401","37.24","1.55e-7","4.50e-8","-2.1","-","1e-8","0","bin219.log"
"May 25 2010","2455343","296481601","51.85","1.69e-7","4.30e-8","-2.1","-","1e-8","0","bin220.log"
"May 28 2010","2455346","296740801","56.91","1.91e-7","4.80e-8","-2.1","-","1e-8","0","bin221.log"
"May 31 2010","2455349","297000001","35.74","1.93e-7","5.00e-8","-2.1","-","1e-8","0","bin222.log"
"Jun 03 2010","2455352","297259201","187.12","4.31e-7","6.30e-8","-2.1","-","1e-8","0","bin223.log"
"Jun 06 2010","2455355","297518401","35.41","1.61e-7","4.50e-8","-2.1","-","1e-8","0","bin224.log"
"Jun 09 2010","2455358","297777601","129.43","3.11e-7","5.70e-8","-2.1","-","1e-8","0","bin225.log"
"Jun 12 2010","2455361","298036801","41.17","1.83e-7","4.80e-8","-2.1","-","1e-8","0","bin226.log"
